t_s,C_center,C_surface,C_mean,R_m
135420.0,0.07734289458101384,0.07146546848846472,0.07434565203456944,0.01403996252170704
135480.0,0.07728455308309905,0.07141972420116979,0.07429374004723135,0.014039031154157878
135540.0,0.07722633542871332,0.07137407650434793,0.07424193797032382,0.014038100809005132
135600.0,0.07716824135494091,0.07132852519513105,0.07419024557173212,0.01403717148535763
135660.0,0.07711027059941884,0.0712830700710689,0.07413866261982481,0.014036243182324437
135720.0,0.07705242290033554,0.07123771093012818,0.07408718888345256,0.01403531589901487
135780.0,0.07699469799642948,0.07119244757069144,0.07403582413194697,0.014034389634538473
135840.0,0.07693709562698786,0.07114727979155624,0.07398456813511946,0.014033464388005042
135900.0,0.07687961553184511,0.0711022073919341,0.07393342066326002,0.014032540158524618
135960.0,0.07682225745138166,0.07105723017144949,0.07388238148713616,0.014031616945207489
136020.0,0.07676502112652248,0.07101234793013897,0.07383145037799171,0.014030694747164186
136080.0,0.07670790629873574,0.07096756046845011,0.07378062710754554,0.0140297735635055
136140.0,0.07665091271003144,0.07092286758724062,0.07372991144799065,0.014028853393342464
136200.0,0.07659404010296007,0.07087826908777725,0.07367930317199277,0.014027934235786372
136260.0,0.0765372882206112,0.07083376477173495,0.07362880205268929,0.014027016089948765
136320.0,0.07648065680661213,0.07078935444119577,0.07357840786368816,0.014026098954941451
136380.0,0.07642414560512649,0.07074503789864801,0.07352812037906663,0.014025182829876484
136440.0,0.07636775436085293,0.07070081494698517,0.07347793937337015,0.01402426771386619
136500.0,0.07631148281902371,0.07065668538950498,0.07342786462161122,0.014023353606023142
136560.0,0.07625533072540333,0.07061264902990845,0.07337789589926816,0.014022440505460183
136620.0,0.0761992978262872,0.0705687056722989,0.07332803298228399,0.014021528411290424
136680.0,0.07614338386850023,0.070524855121181,0.07327827564706531,0.014020617322627237
136740.0,0.07608758859939545,0.0704810971814597,0.07322862367048107,0.014019707238584258
136800.0,0.0760319117668527,0.07043743165843941,0.07317907682986147,0.0140187981582754
136860.0,0.07597635311927722,0.07039385835782291,0.07312963490299673,0.014017890080814844
136920.0,0.07592091240559827,0.07035037708571043,0.07308029766813604,0.014016983005317032
136980.0,0.07586558937526781,0.07030698764859866,0.07303106490398623,0.014016076930896697
137040.0,0.07581038377825906,0.07026368985337977,0.07298193638971079,0.014015171856668831
137100.0,0.07575529536506521,0.07022048350734048,0.07293291190492861,0.014014267781748715
137160.0,0.07570032388669802,0.07017736841816101,0.07288399122971284,0.014013364705251899
137220.0,0.07564546909468638,0.0701343443939142,0.0728351741445897,0.014012462626294218
137280.0,0.07559073074107509,0.07009141124306445,0.07278646043053741,0.014011561543991784
137340.0,0.07553610857842333,0.07004856877446682,0.0727378498689849,0.014010661457460993
137400.0,0.07548160235980343,0.07000581679736599,0.07268934224181076,0.014009762365818525
137460.0,0.07542721183879943,0.06996315512139537,0.07264093733134203,0.01400886426818135
137520.0,0.07537293676950566,0.06992058355657602,0.07259263492035302,0.014007967163666715
137580.0,0.07531877695526336,0.06987810194489295,0.07254443483098465,0.014007071051392163
137640.0,0.07526473211589485,0.06983571007427632,0.072496336818722,0.014006175930475526
137700.0,0.0752108019999474,0.06979340775132385,0.07244834066202853,0.01400528180003493
137760.0,0.07515698636387702,0.06975119478781414,0.07240044614572283,0.014004388659188786
137820.0,0.07510328496465275,0.06970907099591471,0.07235265305507253,0.014003496507055804
137880.0,0.07504969755975537,0.06966703618818122,0.07230496117579338,0.014002605342754992
137940.0,0.07499622390717615,0.06962509017755655,0.07225737029404794,0.014001715165405658
138000.0,0.07494286376541563,0.06958323277736983,0.07220988019644475,0.014000825974127397
138060.0,0.07488961689348235,0.06954146380133566,0.07216249067003709,0.01399993776791276
138120.0,0.07483648305089158,0.06949978306355313,0.07211520150232209,0.013999050545697283
138180.0,0.0747834619976641,0.06945819037850495,0.07206801248123945,0.013998164306887254
138240.0,0.07473055349432492,0.06941668556105657,0.07202092339517055,0.013997279050602694
138300.0,0.0746777573019021,0.06937526842645522,0.0719739340329373,0.01399639477596392
138360.0,0.07462507318192536,0.06933393879032912,0.07192704418380108,0.01399551148209154
138420.0,0.07457250089642498,0.0692926964686865,0.07188025363746171,0.013994629168106459
138480.0,0.07452004020793046,0.06925154127791468,0.07183356218405638,0.013993747833129873
138540.0,0.07446769087946928,0.06921047303477929,0.0717869696141585,0.013992867476283286
138600.0,0.07441545267456567,0.06916949155642327,0.07174047571877669,0.0139919880966885
138660.0,0.07436332535723936,0.069128596660366,0.07169408028935384,0.013991109693467611
138720.0,0.0743113086920043,0.06908778816450244,0.07164778311776579,0.01399023226574303
138780.0,0.07425940244386743,0.06904706588710217,0.07160158399632045,0.01398935581263746
138840.0,0.07420760637832742,0.06900642964680855,0.07155548271775669,0.013988480333273915
138900.0,0.07415592026137345,0.06896587926263778,0.07150947907524327,0.013987605826775716
138960.0,0.0741043438594839,0.06892541455397806,0.07146357286237774,0.01398673229226649
139020.0,0.07405287693962517,0.06888503534058861,0.0714177638731854,0.013985859728870181
139080.0,0.07400151926925035,0.06884474144259888,0.07137205190211829,0.01398498813571103
139140.0,0.07395027061629803,0.06880453268050751,0.07132643674405398,0.013984117511913597
139200.0,0.07389913074919102,0.06876440887518162,0.07128091819429469,0.013983247856602763
139260.0,0.07384809943683514,0.06872436984785572,0.07123549604856605,0.01398237916890371
139320.0,0.0737971764486179,0.06868441542013098,0.07119017010301616,0.013981511447941944
139380.0,0.0737463615544073,0.0686445454139742,0.07114494015421445,0.013980644692843287
139440.0,0.07369565452455054,0.06860475965171701,0.07109980599915061,0.013979778902733882
139500.0,0.07364505512987286,0.06856505795605493,0.07105476743523362,0.013978914076740186
139560.0,0.07359456314167616,0.06852544015004644,0.07100982426029055,0.013978050213988982
139620.0,0.07354417833173782,0.06848590605711219,0.0709649762725656,0.013977187313607373
139680.0,0.07349390047230944,0.06844645550103397,0.07092022327071898,0.013976325374722787
139740.0,0.07344372933611565,0.06840708830595393,0.07087556505382583,0.01397546439646298
139800.0,0.0733936646963527,0.0683678042963736,0.07083100142137522,0.013974604377956026
139860.0,0.07334370632668735,0.06832860329715305,0.07078653217326901,0.013973745318330337
139920.0,0.07329385404844899,0.06828948516373731,0.07074215714796575,0.01397288721671465
139980.0,0.0732441075971946,0.06825044969669122,0.07069787611462935,0.013972030072238026
140040.0,0.07319446674550358,0.06821149672034935,0.07065368887238015,0.013971173884029868
140100.0,0.07314493126920749,0.06817262606118608,0.07060959522299942,0.013970318651219907
140160.0,0.07309550094461056,0.06813383754603528,0.07056559496868281,0.013969464372938207
140220.0,0.07304617554848847,0.0680951310020893,0.0705216879120392,0.013968611048315165
140280.0,0.07299695485808716,0.06805650625689834,0.07047787385608976,0.013967758676481526
140340.0,0.07294783865112178,0.06801796313836944,0.07043415260426707,0.01396690725656836
140400.0,0.07289882670577548,0.06797950147476578,0.07039052396041397,0.013966056787707083
140460.0,0.07284991880069829,0.06794112109470576,0.07034698772878271,0.013965207269029447
140520.0,0.07280111471500592,0.06790282182716224,0.07030354371403388,0.013964358699667554
140580.0,0.0727524142282787,0.06786460350146169,0.07026019172123556,0.013963511078753842
140640.0,0.07270381712056039,0.0678264659472833,0.0702169315558621,0.013962664405421092
140700.0,0.072655323172357,0.06778840899465823,0.07017376302379344,0.013961818678802439
140760.0,0.07260693216463567,0.06775043247396877,0.07013068593131383,0.013960973898031356
140820.0,0.07255864387882353,0.06771253621594746,0.07008770008511107,0.013960130062241663
140880.0,0.07251045809680659,0.06767472005167628,0.07004480529227544,0.01395928717056754
140940.0,0.0724623746009285,0.06763698381258587,0.0700020013602987,0.01395844522214351
141000.0,0.07241439317398947,0.06759932733045462,0.06995928809707312,0.013957604216104447
141060.0,0.0723665135992451,0.06756175043740792,0.06991666531089055,0.01395676415158558
141120.0,0.07231873566040527,0.06752425296591726,0.06987413281044139,0.013955925027722492
141180.0,0.07227105914163291,0.0674868347487994,0.06983169040481357,0.013955086843651123
141240.0,0.07222348382754296,0.06744949561921565,0.06978933790349164,0.013954249598507764
141300.0,0.07217600950320112,0.0674122354106709,0.06974707511635578,0.013953413291429073
141360.0,0.07212863595412278,0.06737505395701288,0.06970490185368075,0.013952577921552056
141420.0,0.07208136296627182,0.06733795109243125,0.06966281792613499,0.013951743488014092
141480.0,0.07203419032605954,0.06730092665145689,0.06962082314477958,0.013950909989952907
141540.0,0.07198711782034338,0.06726398046896095,0.06957891732106729,0.013950077426506604
141600.0,0.0719401452364259,0.0672271123801541,0.06953710026684161,0.013949245796813642
141660.0,0.07189327236205359,0.06719032222058562,0.06949537179433568,0.01394841510001284
141720.0,0.07184649898541569,0.0671536098261427,0.06945373171617145,0.013947585335243396
141780.0,0.07179982489514308,0.06711697503304945,0.06941217984535855,0.013946756501644869
141840.0,0.07175324988030714,0.0670804176778662,0.06937071599529342,0.013945928598357185
141900.0,0.07170677373041856,0.06704393759748861,0.06932933997975828,0.01394510162452064
141960.0,0.07166039623542625,0.06700753462914684,0.06928805161292012,0.01394427557927591
142020.0,0.07161411718571611,0.06697120861040473,0.06924685070932982,0.01394345046176403
